University Name,City,Programe/Course,Tuition Fee/ Per year in EUR for EU Students,Tuition Fee/Per Year in EUR for Non-EU students,Deadline,Programme Duration,Accomodation,Category,Level
        Berlin School of Business and Innovation ,Berlin,MA Visual Communication,"€ 12,600","€ 12,600",Rolling,1.5,No,Arts,Masters

Arden University ,Berlin,BA (Hons) Business Management Marketing,10500,10500,Rolling,3,No,Business and management,Bachelors
Arden University ,Berlin,Business Management Human Resource ,10500,10500,Rolling,3,No,Business and management,Bachelors
Arden University ,Berlin,BSc (Hons) Health and Care Management,10500,10500,Rolling,3,No,Business and management,Bachelors
Arden University ,Berlin,BSc (Hons) Computing,10500,10500,Rolling,3,No,Computer science and IT,Bachelors
Arden University ,Berlin,BA (Hons) Business Management Tourism ,10500,10500,Rolling,3,No,Business and management,Bachelors
Arden University ,Berlin,BSc (Hons) Accounting with Finance with Foundation Year,"€10,500","€10,500",Rolling,4,No,Business and management,Bachelors
Arden University ,Berlin,BSc (Hons) Health and Care Management with Foundation Year,"€10,500","€10,500",Rolling,4,No,Business and management,Bachelors
Arden University ,Berlin,BSc (Hons) Computing with Foundation,"€10,500","€10,500",Rolling,4,No,Computer science and IT,Bachelors
Arden University ,Berlin,Executive MBA,"€16,500","€16,500",Rolling,1,No,Business and management,Masters
Arden University ,Berlin,MBA,"€16,500","€16,500",Rolling,1,No,Business and management,Masters
Arden University ,Berlin,MSc Data Analytics and Information Systems Management,"€15,500","€15,500",Rolling,1,No,Computer science and IT,Masters
Arden University ,Berlin,MSc Engineering Management,"€15,500","€15,500",Rolling,1,No,Business and management,Masters
Arden University ,Berlin,MSc Project Management,"€15,500","€15,500",Rolling,1,No,Business and management,Masters
Arden University ,Berlin,MSc IT Security Management,"€15,500","€15,500",Rolling,1,No,Business and management,Masters
Arden University ,Berlin,MSc Supply Chain Management and Logistics,"€15,500","€15,500",Rolling,1,No,Business and management,Masters
Arden University ,Berlin,MSc Strategic Digital Marketing,"€15,500","€15,500",Rolling,1,No,Business and management,Masters
Arden University ,Berlin,MSc Strategic Human Resource Management,"€15,500","€15,500",Rolling,1,No,Business and management,Masters
Arden University ,Berlin,Master of Public Health,"€15,500","€15,500",Rolling,1,No,Medicine and health ,Masters

GISMA University for Applied Sciences ,Potsdam ,BSc Computer Science ,"€39,375","€39,375",,3,No,Computer science and IT,Bachelors
GISMA University for Applied Sciences ,Potsdam ,B Eng Software Engineering ,"€39,375","€39,375",,3,No,Computer science and IT,Bachelors
GISMA University for Applied Sciences ,Potsdam ,BSc Business Management,"€39,375","€39,375",,3,No,Business and management,Bachelors
GISMA University for Applied Sciences ,Potsdam ,BSc International Business Management,"€39,375","€39,375",,3,No,Business and management,Bachelors
GISMA University for Applied Sciences ,Potsdam ,"BSc Data Science, AI & Digital Business","€39,375","€39,375",,3,No,Computer science and IT,Bachelors
GISMA University for Applied Sciences ,Potsdam ,Foundation Program,"€6,563","€6,563",,0.5,No,Business and management,Bachelors
GISMA University for Applied Sciences ,Potsdam ,Master of Engineering Computer Science,"€23,150","€23,150",,2,No,Engineering,Masters
GISMA University for Applied Sciences ,Hamburg ,MSc Business Management,"€23,150","€23,150",,2,No,Business and management,Masters
GISMA University for Applied Sciences ,Potsdam ,MSc International Business Management,"€23,150","€23,150",,2,No,Business and management,Masters
GISMA University for Applied Sciences ,Potsdam ,MSc International Business Management (Kingston Accredited Course),"€16,500
","€16,500
",,1,No,Business and management,Masters
GISMA University for Applied Sciences ,Potsdam ,"MSc Data Science, AI & Digital Business","€23,150","€23,150",,2,No,Computer science and IT,Masters
GISMA University for Applied Sciences ,Potsdam ,MSc Leadership for Digital Transformation,"€23,150","€23,150",,2,No,Business and management,Masters
GISMA University for Applied Sciences ,Potsdam ,PreMasters,"€5,500","€5,500",,0.5,No,Business and management,Masters
GISMA University for Applied Sciences ,Potsdam ,Global MBA,"€18,000","€18,000",,1,No,Business and management,Masters
University Name,City,Programe/Course,Tuition Fee/ Per year in EUR for EU Students,Tuition Fee/Per Year in EUR for Non-EU students,Deadline (Sept 2025),Programme Duration,Accomodation,Category,Level,Commission 

KEDGE Business School,Marseille ,International BBA ,11200,11200,11-May,4,No,Business and Management,Bachelors ,10%
KEDGE Business School,Marseille ,Business Transformation for Sustainability ,17500,17500,11-May,1,No,Business and Management,Masters,10%
KEDGE Business School,Marseille ,Data Analytics for Business,17500,17500,11-May,1,No,Business and Management,Masters,10%
KEDGE Business School,Marseille ,Banking and Finance ,18500,18500,11-May,1,No,Business and Management,Masters,10%
KEDGE Business School,Marseille ,Busines Law,17500,17500,11-May,1,No,Business and Management,Masters,10%
KEDGE Business School,Marseille ,Ecological and Impact Finance,20400,20400,11-May,1,No,Business and Management,Masters,10%
KEDGE Business School,Marseille ,Digital Marketing and Sales,20400,20400,11-May,1,No,Business and Management,Masters,10%
KEDGE Business School,Marseille ,International Business,18500,18500,11-May,1,No,Business and Management,Masters,10%
KEDGE Business School,Marseille ,Marketing,17500,17500,11-May,1,No,Business and Management,Masters,10%
KEDGE Business School,Marseille ,Sport International Sport and Event Management ,17500,17500,11-May,1,No,Business and Management,Masters,10%
KEDGE Business School,Marseille ,International Trade and Maritime Logistics,17500,17500,11-May,1,No,Business and Management,Masters,10%
KEDGE Business School,Marseille ,Global Supply Chain Management ,20400,20400,11-May,1,No,Business and Management,Masters,10%
KEDGE Business School,Marseille ,International Purchasing and Innovation Management ,20400,20400,11-May,1,No,Business and Management,Masters,10%
KEDGE Business School,Marseille ,Arts and Creative industry Management ,22500,22500,11-May,1,No,Business and Management,Masters,10%
KEDGE Business School,Marseille ,Creativity and Design Management ,17500,17500,11-May,1,No,Business and Management,Masters,10%
KEDGE Business School,Marseille ,Wine and Spirits Management ,21500,21500,11-May,1,No,Business and Management,Masters,10%
KEDGE Business School,Marseille ,Wine and Hospitality Management ,24000,24000,11-May,1,No,Business and Management,Masters,10%

ESDES University,Lyon,International Business ,9000,9000,6-Jun,3,Yes,Business and Management,Bachelors,12%
ESDES University,Lyon,International Business Administration ,13000,13000,6-Jun,2,Yes,Business and Management,Masters,12%
ESDES University,Lyon,Supply Chain Management and Purchasing,13000,13000,6-Jun,2,Yes,Business and Management,Masters,12%
ESDES University,Lyon,Marketing and Digital Business,13000,13000,6-Jun,2,Yes,Business and Management,Masters,12%
ESDES University,Lyon,Circular Economy and Sustainable Innovation ,13900,13900,6-Jun,1,Yes,Business and Management,Masters,12%
ESDES University,Lyon,Impat Finance and Fintech Management ,13900,13900,6-Jun,1,Yes,Business and Management,Masters,12%
ESDES University,Lyon,Sustainable Tourism and Event Management ,14800,14800,6-Jun,1,Yes,Business and Management,Masters,12%

Paris Business School,Paris,Cybersecurity,9690,9690,Rolling,1,No,Tech & Management,Bachelors,
Paris Business School,Paris,Data Analytics & A.I,9690,9690,Rolling,1,No,Tech & Management,Bachelors,
Paris Business School,Paris,Tech for Management ,9690,9690,Rolling,3,No,Tech & Management,Bachelors,
Paris Business School,Paris,Luxury Marketing ,9690,9690,Rolling,1,No,Business and Management ,Bachelors,
Paris Business School,Paris,Management ,9690,9690,Rolling,3,No,Business and Management ,Bachelors,
Paris Business School,Paris,International Business,9690,9690,Rolling,1,No,Business and Management ,Bachelors,
Paris Business School,Paris,Banking And Finance ,9690,9690,Rolling,1,No,Business and Management ,Bachelors,
Paris Business School,Paris,Int. Management & Business Development ,16000,16000,Rolling,1.25,No,Business and Management ,Masters,
Paris Business School,Paris,Luxury & Fashion Management ,22000,22000,Rolling,1.25,No,Business and Management ,Masters,
Paris Business School,Paris,Hospitality Management,16000,16000,Rolling,1.25,No,Business and Management ,Masters,
Paris Business School,Paris,Data Management,14450,14450,Rolling,1.5,No,Business and Management ,Masters,
Paris Business School,Paris,Supply Chain Management ,16000,16000,Rolling,1.25,No,Business and Management ,Masters,
Paris Business School,Paris,Marketing Analytics & Data Intelligence ,16000,16000,Rolling,1.25,No,Business and Management ,Masters,
Paris Business School,Paris,Sustainability & Business Development,16000,16000,Rolling,1.25,No,Business and Management ,Masters,
Paris Business School,Paris,International Finance,16000,16000,Rolling,1.25,No,Business and Management ,Masters,
Paris Business School,Paris,Arts & Cultural Management ,21500,21500,Rolling,1.25,No,Business and Management ,Masters,
Paris Business School,Paris,Business Adminstration,18870,18870,Rolling,1,No,Business and Management ,Masters,



























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































University Name,City,Programe/Course,Commission ,Tuition Fee/ Per year in EUR for EU Students,Tuition Fee/Per Year in EUR for Non-EU students,Deadline (Sept 2025),Programme Duration,Accomodation,Category,Level




Higher Institute of Economics & Innovation WSEI Poland,Lublin,Computer Science ( Different specializations)),,3700,3700,15-Aug,4,Yes,,Bachelors
